ID,Name,Date,Type,Coupon,Sale1,Sales-Last4weeks-by-C-S,Sales-Last13weeks-by-C-S,Sales-Last52weeks-by-C-S,Sales-Last4weeks-TOTAL,Sales-Last13weeks-TOTAL,Sales-Last52weeks-TOTAL
1,ETE,2019-08-29T00:00:00.000+0000,Yearly,Yes,95,475,570,570,475,742,1584
2,TYT,2019-08-23T00:00:00.000+0000,Yearly,Yes,95,380,475,475,380,647,1489
3,YH,2019-08-23T00:00:00.000+0000,Yearly,Yes,95,380,475,475,380,647,1489
5,FFF,2019-08-12T00:00:00.000+0000,Yearly,Yes,95,285,285,285,285,472,1399
4,FG,2019-08-12T00:00:00.000+0000,Yearly,Yes,95,285,285,285,285,472,1399
6,GGG,2019-07-24T00:00:00.000+0000,Yearly,Yes,95,95,95,95,119,297,1209
7,GUMU,2019-07-12T00:00:00.000+0000,Monthly,Yes,12,48,84,84,148,214,1114
8,GHU,2019-07-11T00:00:00.000+0000,Monthly,Yes,12,36,72,72,136,202,1102
9,GHG,2019-06-21T00:00:00.000+0000,Monthly,Yes,12,48,60,60,148,190,1090
16,RTG,2019-06-21T00:00:00.000+0000,Yearly,No,100,100,100,1000,148,190,1090
10,HOOH,2019-06-20T00:00:00.000+0000,Monthly,Yes,12,36,48,48,36,78,978
11,PQ,2019-06-05T00:00:00.000+0000,Monthly,Yes,12,24,36,36,39,166,966
12,WE,2019-06-01T00:00:00.000+0000,Monthly,Yes,12,12,24,24,27,154,954
14,DS,2019-05-20T00:00:00.000+0000,Monthly,No,15,30,30,30,42,242,942
15,WQE,2019-04-28T00:00:00.000+0000,Monthly,No,15,15,15,15,27,227,927
13,QWE,2019-04-24T00:00:00.000+0000,Monthly,Yes,12,12,12,12,12,312,912
17,FG,2019-03-21T00:00:00.000+0000,Yearly,No,100,200,500,1000,200,500,1000
18,DSFS,2019-02-23T00:00:00.000+0000,Yearly,No,100,100,400,900,100,400,900
19,YTT,2019-01-24T00:00:00.000+0000,Yearly,No,100,200,300,800,200,300,800
20,GF,2019-01-22T00:00:00.000+0000,Yearly,No,100,100,300,800,100,300,800
21,DF,2018-12-21T00:00:00.000+0000,Yearly,No,100,100,200,800,100,200,800
24,QQ,2018-10-24T00:00:00.000+0000,Yearly,No,100,100,400,700,100,400,700
23,DD,2018-09-21T00:00:00.000+0000,Yearly,No,100,200,300,600,200,300,600
25,GRT,2018-09-12T00:00:00.000+0000,Yearly,No,100,200,200,500,200,200,500
22,HH,2018-08-21T00:00:00.000+0000,Yearly,No,100,100,100,400,100,100,400
26,WE,2018-04-03T00:00:00.000+0000,Yearly,No,100,100,200,400,100,200,400
27,YE,2018-01-23T00:00:00.000+0000,Yearly,No,100,200,200,300,200,200,300
28,RE,2017-12-31T00:00:00.000+0000,Yearly,No,100,100,100,200,100,100,200
29,REW,2017-06-24T00:00:00.000+0000,Yearly,No,100,100,100,100,100,100,100
